Wall time,Step,Value
1577874427.3780873,0,-38.866180419921875
1577874470.137727,2,-29.632125854492188
1577874514.1021433,4,-23.221595764160156
1577874675.11603,0,-0.0704270675778389
1577874726.2771988,2,0.14801831543445587
1577874777.3685546,4,0.16429902613162994
1577874829.310635,6,0.15325483679771423
1577874880.6672812,8,0.2020007073879242
1577874932.404909,10,0.2037886381149292
1577874984.1026442,12,0.22755175828933716
1577875035.9230487,14,0.27523601055145264
1577875087.4013705,16,0.241087406873703
1577875139.511002,18,0.32139283418655396
1577875190.7429826,20,0.30288732051849365
1577875242.3878572,22,0.35126522183418274
1577875293.5340667,24,0.38878700137138367
1577875345.2128513,26,0.3464396297931671
1577875396.3660412,28,0.36955514550209045
1577875447.8254125,30,0.3670007288455963
1577875499.2149708,32,0.45140382647514343
1577875550.5157664,34,0.4033401906490326
1577875601.8075862,36,0.44594451785087585
1577875653.4973438,38,0.46085745096206665
1577875704.5687509,40,0.4611472487449646
1577875756.269478,42,0.4795343279838562
1577875808.3681402,44,0.5145842432975769
1577875860.6792326,46,0.5191232562065125
1577875912.5155976,48,0.4717540442943573
1577875963.8054209,50,0.48525968194007874
1577876015.9050815,52,0.4957285225391388
1577876067.5709007,54,0.5590112805366516
1577876119.9857159,56,0.5347797274589539
1577876171.707386,58,0.5297731161117554
1577876223.4480052,60,0.5545539259910583
1577876274.6390939,62,0.5536838173866272
1577876326.7746582,64,0.5649919509887695
1577876378.578109,66,0.5844863653182983
1577876430.3147388,68,0.5780147314071655
1577876481.8828192,70,0.617137610912323
1577876533.3292265,72,0.5718166828155518
1577876585.0508957,74,0.5838467478752136
1577876637.0268853,76,0.5768088698387146
1577876688.5191703,78,0.6226277947425842
1577876739.8379178,80,0.6052071452140808
1577876792.2906094,82,0.6114813089370728
1577876843.518586,84,0.6207349300384521
1577876894.8822157,86,0.6507738828659058
1577876947.0107958,88,0.6338483691215515
1577876998.9488883,90,0.6200776100158691
1577877050.6047335,92,0.6625206470489502
1577877102.4251392,94,0.632020115852356
1577877154.2335763,96,0.6725329756736755
1577877205.343882,98,0.6555482149124146
1577877256.5678842,100,0.6846825480461121
1577877307.9215372,102,0.6833030581474304
1577877359.3519866,104,0.6884347200393677
1577877410.1989965,106,0.6830013990402222
1577877461.2554448,108,0.6773744821548462
1577877512.6210687,110,0.6780486702919006
1577877563.9517825,112,0.6887951493263245
1577877615.8838913,114,0.6867215633392334
1577877667.6354809,116,0.6889095306396484
1577877719.6274276,118,0.6866808533668518
1577877770.9242353,120,0.6909661889076233
1577877828.3047693,122,0.6828321218490601
1577877883.5699635,124,0.6913753151893616
1577877934.811914,126,0.6924708485603333
1577877986.4218833,128,0.689246416091919
1577878037.4384396,130,0.6832792162895203
1577878089.0823188,132,0.697239875793457
1577878140.539694,134,0.6906744837760925
1577878191.7946126,136,0.6949292421340942
1577878242.7603045,138,0.6966082453727722
1577878294.309436,140,0.6906834244728088
1577878345.430712,142,0.6936116218566895
1577878396.4392936,144,0.7003428936004639
1577878447.8188741,146,0.6987718939781189
1577878498.856374,148,0.7001354098320007
1577878550.210042,150,0.7032328248023987
1577878601.8120203,152,0.702829122543335
1577878653.1586926,154,0.6933974027633667
1577878704.730763,156,0.7020450234413147
1577878756.2390032,158,0.706158459186554
1577878807.673442,160,0.7025308609008789
1577878859.6404538,162,0.6967788338661194
1577878911.2833357,164,0.7087289094924927
1577878964.2446902,166,0.7071306705474854
1577879017.5820382,168,0.7055783271789551
1577879073.450617,170,0.7064042091369629
1577879127.8421474,172,0.7093091011047363
