Wall time,Step,Value
1577827115.4429142,0,0.73264479637146
1577827247.1217382,2,0.4930453300476074
1577827379.8308072,4,0.3906080722808838
1577827511.3341017,6,0.32539820671081543
1577827642.2848723,8,0.2844923436641693
1577827773.6186202,10,0.2518349587917328
1577827906.048435,12,0.22799377143383026
1577828038.0214717,14,0.20904521644115448
1577828169.4978368,16,0.20455949008464813
1577828300.8575141,18,0.18390853703022003
1577828432.990125,20,0.1746876984834671
1577828564.4275944,22,0.1669548600912094
1577828696.9661205,24,0.15619905292987823
1577828828.1004014,26,0.1457444280385971
1577828959.7353413,28,0.14111752808094025
1577829090.300146,30,0.14204803109169006
1577829222.219326,32,0.12995418906211853
1577829353.0843287,34,0.12332118302583694
1577829484.5846276,36,0.12032666057348251
1577829616.4389842,38,0.11555559933185577
1577829749.0263765,40,0.11352834105491638
1577829881.152006,42,0.10511413216590881
1577830014.0505674,44,0.10128779709339142
1577830145.2995415,46,0.10034430027008057
1577830277.528893,48,0.09727005660533905
1577830408.9633706,50,0.09507211297750473
1577830541.150834,52,0.08895574510097504
1577830672.7059896,54,0.08482255786657333
1577830804.4715812,56,0.08358024060726166
1577830936.212242,58,0.08409318327903748
1577831069.8278852,60,0.08037915080785751
1577831201.7141528,62,0.07929566502571106
1577831292.3747027,64,0.07396894693374634
1577831385.2174006,66,0.07751278579235077
1577831478.4072027,68,0.07413171231746674
1577831572.1275516,70,0.07048065215349197
1577831665.730229,72,0.06891590356826782
1577831750.6880088,74,0.06708091497421265
1577831834.3761947,76,0.06614872813224792
1577831917.87388,78,0.06524339318275452
1577832001.5640495,80,0.06528322398662567
1577832085.926433,82,0.06300630420446396
1577832169.9826365,84,0.06244467943906784
1577832254.889568,86,0.06061466783285141
1577832339.6379082,88,0.06387193500995636
1577832423.6951668,90,0.06099729239940643
1577832507.8261507,92,0.05729718878865242
1577832591.615068,94,0.05698346719145775
1577832675.2394102,96,0.05883793905377388
1577832759.2317715,98,0.05424268916249275
1577832843.43158,100,0.05286712571978569
1577832927.3541944,102,0.04854439198970795
1577833011.2777402,104,0.04747467115521431
1577833094.6986303,106,0.0484972707927227
1577833178.8057024,108,0.046516288071870804
1577833263.0294447,110,0.04707461968064308
1577833346.5440843,112,0.04614073038101196
1577833429.4832633,114,0.045597564429044724
1577833513.7349243,116,0.0457746721804142
1577833598.1102712,118,0.04751616716384888
1577833682.4177954,120,0.0455014668405056
1577833766.489002,122,0.04496379569172859
1577833850.2021105,124,0.04568107798695564
1577833933.858371,126,0.045463550835847855
1577834017.4168937,128,0.045471467077732086
1577834100.882664,130,0.04503583163022995
1577834184.229752,132,0.044867757707834244
1577834267.9568202,134,0.045245055109262466
1577834351.7607234,136,0.045018270611763
1577834435.428953,138,0.04560592770576477
1577834518.9515703,140,0.044793516397476196
1577834602.7065685,142,0.04440567269921303
1577834686.4884927,144,0.04502461105585098
1577834770.032045,146,0.04451817646622658
1577834853.4290085,148,0.04385915398597717
1577834936.9576511,150,0.04387811943888664
1577835020.834393,152,0.04427613690495491
1577835105.159939,154,0.04401978477835655
1577835189.2001731,156,0.044762227684259415
1577835273.159628,158,0.043708398938179016
1577835357.151005,160,0.043750595301389694
1577835441.1144938,162,0.044112540781497955
1577835524.2810695,164,0.044036731123924255
1577835608.383171,166,0.04376973584294319
1577835694.8598936,168,0.04334206506609917
1577835779.19338,170,0.043273378163576126
1577835863.2775228,172,0.04324883222579956
1577835947.1761723,174,0.043764710426330566
1577836031.9086175,176,0.04378823563456535
1577836116.6449893,178,0.044587258249521255
1577836200.6423957,180,0.04308534041047096
1577836284.6676693,182,0.04267808794975281
1577836368.8435402,184,0.04395503178238869
1577836452.8309157,186,0.04287147521972656
1577836536.8232863,188,0.042812980711460114
1577836621.0869136,190,0.042636625468730927
1577836705.2787821,192,0.04389726743102074
1577836789.6740718,194,0.0423029288649559
1577836873.8609138,196,0.042501527816057205
1577836958.1594622,198,0.0420326329767704
1577837042.108946,200,0.04232138395309448
1577837125.622612,202,0.04190181940793991
1577837210.124611,204,0.0421396903693676
1577837294.295527,206,0.0421009324491024
1577837378.6529438,208,0.04182683303952217
1577837462.3371305,210,0.04171684384346008
