Wall time,Step,Value
1576325958.032294,0,0.23243537545204163
1576326010.0183685,2,0.4411132037639618
1576326062.7407875,4,0.47846636176109314
1576326115.76441,6,0.4914562702178955
1576326168.983548,8,0.5357309579849243
1576326221.5949194,10,0.5181959867477417
1576326274.7496498,12,0.5771174430847168
1576326325.0851402,14,0.6351733207702637
1576326385.807589,16,0.6387977600097656
1576326454.2227588,18,0.6563861966133118
1576326524.0227368,20,0.6592422127723694
1576326582.1842356,22,0.668490469455719
1576326637.6662,24,0.7126244306564331
1576326693.8311477,26,0.7140544056892395
1576326749.3841965,28,0.6991856694221497
1576326808.5935614,30,0.7046051025390625
1576326870.4410145,32,0.7145082950592041
1576326951.6903336,34,0.7100785970687866
1576327020.897437,36,0.7393292188644409
1576327088.8344333,38,0.7593585252761841
1576327161.1566348,40,0.7602156400680542
1576327228.5078998,42,0.7619149684906006
1576327296.432869,44,0.7601727843284607
1576327357.8470838,46,0.7612807154655457
1576327417.7962487,48,0.7682322263717651
1576327475.0626435,50,0.7605114579200745
1576327530.6424568,52,0.7581612467765808
1576327588.5135212,54,0.7587385773658752
1576327644.6720579,56,0.7634226083755493
1576327701.558115,58,0.7605400085449219
1576327757.7121274,60,0.7633822560310364
1576327815.4360306,62,0.7455125451087952
1576327874.3430514,64,0.7611942291259766
1576327931.6959383,66,0.7602142691612244
1576327988.1739254,68,0.7625846862792969
1576328044.6357188,70,0.7546926140785217
1576328100.9103458,72,0.7934963703155518
1576328156.920948,74,0.797100305557251
1576328213.9161308,76,0.8092729449272156
1576328269.8427749,78,0.801989734172821
1576328326.1638455,80,0.7969666123390198
1576328383.1698284,82,0.7985584139823914
1576328458.5017505,84,0.7989583015441895
1576328532.026068,86,0.8061982989311218
1576328605.654851,88,0.80645751953125
1576328679.7623625,90,0.800219714641571
1576328752.3594856,92,0.8046228885650635
1576328829.9528227,94,0.8008729219436646
1576328940.0567977,96,0.8009900450706482
1576329006.5802712,98,0.8093015551567078
1576329094.0601637,100,0.8015995025634766
1576329173.204167,102,0.7955132722854614
1576329250.6314223,104,0.8035758137702942
1576329329.2962768,106,0.7986788749694824
1576329405.957627,108,0.797162652015686
1576329481.9674919,110,0.8080503940582275
1576329556.2053242,112,0.806660532951355
1576329631.3094661,114,0.7995904684066772
1576329705.0729558,116,0.7986429333686829
1576329777.999299,118,0.8104434013366699
1576329853.1076825,120,0.8093845844268799
1576329929.751751,122,0.7994130253791809
1576330002.5156615,124,0.8077177405357361
1576330075.4583273,126,0.7997065186500549
1576330150.449573,128,0.8042557239532471
1576330224.6214342,130,0.8031123876571655
1576330302.7328098,132,0.7923395037651062
1576330373.5955868,134,0.8138657212257385
1576330444.4480786,136,0.7943209409713745
1576330515.6083062,138,0.8006024956703186
1576330589.4683464,140,0.7861114740371704
1576330660.369677,142,0.7927467226982117
1576330721.5027862,144,0.7993971109390259
1576330777.8611934,146,0.8057177066802979
1576330835.4456286,148,0.800189197063446
1576330891.9271038,150,0.791896641254425
1576330948.7131164,152,0.8008719682693481
1576331004.6873493,154,0.8109105825424194
1576331062.6169875,156,0.8067577481269836
1576331118.2019532,158,0.8010382056236267
1576331174.9571404,160,0.8016999363899231
1576331230.9448912,162,0.8020515441894531
1576331287.519249,164,0.7958471179008484
1576331343.38083,166,0.7970907688140869
1576331399.7938156,168,0.8043162822723389
1576331456.2658346,170,0.7989405989646912
1576331516.5799403,172,0.7929465174674988
1576331587.4858985,174,0.794670820236206
1576331679.2393396,176,0.8070310354232788
1576331735.299147,178,0.7989232540130615
1576331812.962177,180,0.802435576915741
1576331895.1850405,182,0.7966395020484924
1576331978.9688532,184,0.7924811840057373
